Time,Model Name,File Name,Propagation Delay (s),Processing Delay (ms),E2E Delay (s),location,core,model_acc,ram
1721230354.6140122,medium,6.jpg,0.5802533626556396,1082.17453956604,1.69020414352417,belgium,two,50.2,1000
1721230355.841211,medium,6.jpg,0.15328454971313477,1049.0338802337646,1.226299524307251,belgium,two,50.2,1000
1721230357.2977343,medium,6.jpg,0.38837575912475586,1043.2043075561523,1.4556465148925781,belgium,two,50.2,1000
1721230358.6606898,medium,6.jpg,0.29299139976501465,1054.4426441192627,1.3617885112762451,belgium,two,50.2,1000
1721230360.1287782,medium,6.jpg,0.36610865592956543,1062.5262260437012,1.4673330783843994,belgium,two,50.2,1000
1721230361.5463161,medium,6.jpg,0.32448840141296387,1070.6303119659424,1.416330337524414,belgium,two,50.2,1000
1721230363.0504577,medium,6.jpg,0.407027006149292,1077.3663520812988,1.5034210681915283,belgium,two,50.2,1000
1721230364.3023295,medium,6.jpg,0.15044736862182617,1070.8961486816406,1.2508795261383057,belgium,two,50.2,1000
1721230365.7775598,medium,6.jpg,0.39373040199279785,1055.5179119110107,1.4743151664733887,belgium,two,50.2,1000
1721230367.1084447,medium,6.jpg,0.1860809326171875,1112.471103668213,1.3299660682678223,belgium,two,50.2,1000
1721230368.5662796,medium,6.jpg,0.3670492172241211,1067.307949066162,1.4568743705749512,belgium,two,50.2,1000
1721230369.8418114,medium,6.jpg,0.18140673637390137,1067.728042602539,1.2745966911315918,belgium,two,50.2,1000
1721230371.6262171,medium,6.jpg,0.7149918079376221,1045.2473163604736,1.7836604118347168,belgium,two,50.2,1000
1721230372.9741576,medium,6.jpg,0.24538612365722656,1071.1135864257812,1.3470091819763184,belgium,two,50.2,1000
1721230374.4309363,medium,6.jpg,0.37421250343322754,1062.950611114502,1.455543041229248,belgium,two,50.2,1000
1721230375.6936457,medium,6.jpg,0.17137742042541504,1068.3858394622803,1.2620017528533936,belgium,two,50.2,1000
1721230377.0684981,medium,6.jpg,0.31343674659729004,1038.6364459991455,1.373805284500122,belgium,two,50.2,1000
1721230378.4817111,medium,6.jpg,0.3506350517272949,1042.9620742797852,1.4124891757965088,belgium,two,50.2,1000
1721230379.792918,medium,6.jpg,0.21779608726501465,1058.6223602294922,1.3105473518371582,belgium,two,50.2,1000
1721230381.2341404,medium,6.jpg,0.3650941848754883,1055.624008178711,1.4402923583984375,belgium,two,50.2,1000
1721230382.5736609,medium,6.jpg,0.23871207237243652,1073.9758014678955,1.3387377262115479,belgium,two,50.2,1000
1721230384.0239944,medium,6.jpg,0.3060791492462158,1120.9595203399658,1.4485065937042236,belgium,two,50.2,1000
1721230385.2624204,medium,6.jpg,0.14979004859924316,1066.5533542633057,1.2377734184265137,belgium,two,50.2,1000
1721230386.6223378,medium,6.jpg,0.2934255599975586,1045.9980964660645,1.3590977191925049,belgium,two,50.2,1000
1721230387.900672,medium,6.jpg,0.2072908878326416,1044.6820259094238,1.277632474899292,belgium,two,50.2,1000
1721230389.3456995,medium,6.jpg,0.34844088554382324,1078.6726474761963,1.444108486175537,belgium,two,50.2,1000
1721230390.600598,medium,6.jpg,0.16282439231872559,1064.8045539855957,1.2540132999420166,belgium,two,50.2,1000
1721230392.0908449,medium,6.jpg,0.3994567394256592,1071.00510597229,1.4894821643829346,belgium,two,50.2,1000
1721230393.3363907,medium,6.jpg,0.1564023494720459,1065.6838417053223,1.2444541454315186,belgium,two,50.2,1000
1721230394.807697,medium,6.jpg,0.38054919242858887,1058.9499473571777,1.4703102111816406,belgium,two,50.2,1000
1721230396.0629234,medium,6.jpg,0.1848442554473877,1049.705982208252,1.2542707920074463,belgium,two,50.2,1000
1721230397.5549922,medium,6.jpg,0.415524959564209,1052.9468059539795,1.4912123680114746,belgium,two,50.2,1000
1721230399.1159413,medium,6.jpg,0.49297094345092773,1052.0057678222656,1.5600800514221191,belgium,two,50.2,1000
1721230400.537802,medium,6.jpg,0.3425624370574951,1053.2753467559814,1.4211018085479736,belgium,two,50.2,1000
1721230401.7942154,medium,6.jpg,0.18851423263549805,1046.9751358032227,1.2556445598602295,belgium,two,50.2,1000
1721230403.235066,medium,6.jpg,0.36600685119628906,1054.4102191925049,1.4401798248291016,belgium,two,50.2,1000
1721230404.6031623,medium,6.jpg,0.2933766841888428,1055.1972389221191,1.3672442436218262,belgium,two,50.2,1000
1721230406.0754254,medium,6.jpg,0.3799912929534912,1067.054033279419,1.4713771343231201,belgium,two,50.2,1000
1721230407.308176,medium,6.jpg,0.1481027603149414,1066.0655498504639,1.2317571640014648,belgium,two,50.2,1000
1721230408.705369,medium,6.jpg,0.3184630870819092,1055.7191371917725,1.3963582515716553,belgium,two,50.2,1000
1721230410.0585573,medium,6.jpg,0.27701640129089355,1056.4460754394531,1.3518826961517334,belgium,two,50.2,1000
1721230411.286056,medium,6.jpg,0.16047120094299316,1041.1417484283447,1.2266128063201904,belgium,two,50.2,1000
1721230412.8568888,medium,6.jpg,0.4532432556152344,1084.6102237701416,1.5697362422943115,belgium,two,50.2,1000
1721230414.2097,medium,6.jpg,0.2299787998199463,1101.0096073150635,1.351240873336792,belgium,two,50.2,1000
1721230415.5901456,medium,6.jpg,0.3075530529022217,1046.4019775390625,1.3796067237854004,belgium,two,50.2,1000
1721230416.9575634,medium,6.jpg,0.29296445846557617,1053.2183647155762,1.3665425777435303,belgium,two,50.2,1000
1721230418.4269109,medium,6.jpg,0.3921635150909424,1049.9577522277832,1.4686369895935059,belgium,two,50.2,1000
1721230420.017033,medium,6.jpg,0.484405517578125,1085.1929187774658,1.588921308517456,belgium,two,50.2,1000
1721230421.4218981,medium,6.jpg,0.3107564449310303,1068.1469440460205,1.4038560390472412,belgium,two,50.2,1000
1721230422.6558478,medium,6.jpg,0.14652323722839355,1065.8791065216064,1.2332310676574707,belgium,two,50.2,1000
1721230424.129395,medium,6.jpg,0.3750028610229492,1074.6748447418213,1.4727592468261719,belgium,two,50.2,1000
1721230425.4833405,medium,6.jpg,0.28675103187561035,1046.0166931152344,1.3526110649108887,belgium,two,50.2,1000
1721230426.9447753,medium,6.jpg,0.3248717784881592,1111.469030380249,1.4602434635162354,belgium,two,50.2,1000
1721230428.2661982,medium,6.jpg,0.24385595321655273,1052.2315502166748,1.3206968307495117,belgium,two,50.2,1000
1721230429.687753,medium,6.jpg,0.33710670471191406,1070.6346035003662,1.4208500385284424,belgium,two,50.2,1000
1721230430.93721,medium,6.jpg,0.16941046714782715,1052.6421070098877,1.2486674785614014,belgium,two,50.2,1000
1721230432.3867114,medium,6.jpg,0.33678317070007324,1092.5979614257812,1.4487476348876953,belgium,two,50.2,1000
1721230433.6593218,medium,6.jpg,0.15938591957092285,1084.3074321746826,1.2717154026031494,belgium,two,50.2,1000
1721230435.2034361,medium,6.jpg,0.4615616798400879,1061.0618591308594,1.5433015823364258,belgium,two,50.2,1000
1721230436.4782457,medium,6.jpg,0.1891918182373047,1060.9307289123535,1.2738566398620605,belgium,two,50.2,1000
1721230437.926286,medium,6.jpg,0.3763601779937744,1046.7183589935303,1.4466066360473633,belgium,two,50.2,1000
1721230439.2754886,medium,6.jpg,0.26726341247558594,1055.99045753479,1.3483834266662598,belgium,two,50.2,1000
1721230440.6402907,medium,6.jpg,0.2821025848388672,1057.5995445251465,1.3640854358673096,belgium,two,50.2,1000
1721230442.1256363,medium,6.jpg,0.41049981117248535,1047.8870868682861,1.4846296310424805,belgium,two,50.2,1000
1721230443.345659,medium,6.jpg,0.13291358947753906,1067.495584487915,1.2192540168762207,belgium,two,50.2,1000
1721230444.8191602,medium,6.jpg,0.36292409896850586,1087.2023105621338,1.4726533889770508,belgium,two,50.2,1000
1721230446.0391634,medium,6.jpg,0.13200664520263672,1061.1352920532227,1.218571424484253,belgium,two,50.2,1000
1721230447.4269397,medium,6.jpg,0.30184340476989746,1060.9617233276367,1.3870065212249756,belgium,two,50.2,1000
1721230448.7037752,medium,6.jpg,0.17556548118591309,1073.012113571167,1.2751491069793701,belgium,two,50.2,1000
1721230450.172717,medium,6.jpg,0.3884453773498535,1059.3233108520508,1.4678447246551514,belgium,two,50.2,1000
1721230451.5062492,medium,6.jpg,0.23330068588256836,1074.0303993225098,1.3326938152313232,belgium,two,50.2,1000
1721230452.973402,medium,6.jpg,0.37409472465515137,1070.6007480621338,1.4661540985107422,belgium,two,50.2,1000
1721230454.321329,medium,6.jpg,0.23458266258239746,1088.4606838226318,1.3470568656921387,belgium,two,50.2,1000
1721230455.7885878,medium,6.jpg,0.382235050201416,1065.2406215667725,1.4665088653564453,belgium,two,50.2,1000
1721230457.0468857,medium,6.jpg,0.17656159400939941,1057.3341846466064,1.2575407028198242,belgium,two,50.2,1000
1721230458.5264003,medium,6.jpg,0.4082028865814209,1049.8414039611816,1.4785573482513428,belgium,two,50.2,1000
1721230459.8512175,medium,6.jpg,0.240020751953125,1061.6285800933838,1.3234009742736816,belgium,two,50.2,1000
1721230461.219092,medium,6.jpg,0.2887609004974365,1052.321434020996,1.3671057224273682,belgium,two,50.2,1000
1721230462.7496254,medium,6.jpg,0.42168164253234863,1080.0607204437256,1.5298256874084473,belgium,two,50.2,1000
1721230464.2406528,medium,6.jpg,0.38252925872802734,1077.3603916168213,1.4901044368743896,belgium,two,50.2,1000
1721230465.4895127,medium,6.jpg,0.1499319076538086,1079.4532299041748,1.2481060028076172,belgium,two,50.2,1000
1721230466.9670527,medium,6.jpg,0.37943243980407715,1068.3410167694092,1.4767839908599854,belgium,two,50.2,1000
1721230468.230024,medium,6.jpg,0.17644882202148438,1061.946153640747,1.2615869045257568,belgium,two,50.2,1000
1721230469.7094684,medium,6.jpg,0.3983938694000244,1053.9066791534424,1.478240966796875,belgium,two,50.2,1000
1721230471.0334995,medium,6.jpg,0.24253153800964355,1057.9590797424316,1.3232932090759277,belgium,two,50.2,1000
1721230472.4751675,medium,6.jpg,0.3173506259918213,1098.261833190918,1.4405324459075928,belgium,two,50.2,1000
1721230473.9491534,medium,6.jpg,0.3636140823364258,1089.5178318023682,1.4732422828674316,belgium,two,50.2,1000
1721230475.232194,medium,6.jpg,0.18846487998962402,1067.1379566192627,1.2822494506835938,belgium,two,50.2,1000
1721230476.788876,medium,6.jpg,0.47521376609802246,1056.9398403167725,1.5555026531219482,belgium,two,50.2,1000
1721230478.0865774,medium,6.jpg,0.217667818069458,1054.3463230133057,1.296739101409912,belgium,two,50.2,1000
1721230479.4866586,medium,6.jpg,0.2955193519592285,1077.0769119262695,1.399346113204956,belgium,two,50.2,1000
1721230480.7382462,medium,6.jpg,0.1606760025024414,1068.1703090667725,1.2504081726074219,belgium,two,50.2,1000
1721230482.1136081,medium,6.jpg,0.29273247718811035,1053.3032417297363,1.374274492263794,belgium,two,50.2,1000
1721230483.3608422,medium,6.jpg,0.1628551483154297,1066.6415691375732,1.2460370063781738,belgium,two,50.2,1000
1721230484.8087745,medium,6.jpg,0.36632704734802246,1054.3904304504395,1.4467055797576904,belgium,two,50.2,1000
1721230486.0765884,medium,6.jpg,0.19572806358337402,1051.4051914215088,1.2669775485992432,belgium,two,50.2,1000
1721230487.4175475,medium,6.jpg,0.27243518829345703,1048.0766296386719,1.3399837017059326,belgium,two,50.2,1000
1721230488.678826,medium,6.jpg,0.18667960166931152,1052.7431964874268,1.2604804039001465,belgium,two,50.2,1000
1721230490.0531466,medium,6.jpg,0.288388729095459,1050.5542755126953,1.3731532096862793,belgium,two,50.2,1000
1721230491.287886,medium,6.jpg,0.16569066047668457,1048.637866973877,1.232759952545166,belgium,two,50.2,1000
1721230492.6564085,medium,6.jpg,0.2680478096008301,1078.5791873931885,1.3672046661376953,belgium,two,50.2,1000
1721230494.0421073,medium,6.jpg,0.2772634029388428,1083.4877490997314,1.384793758392334,belgium,two,50.2,1000
1721230495.5832891,medium,6.jpg,0.4610307216644287,1063.0452632904053,1.5400311946868896,belgium,two,50.2,1000
1721230496.92339,medium,6.jpg,0.2591555118560791,1049.4112968444824,1.3393023014068604,belgium,two,50.2,1000
1721230498.313667,medium,6.jpg,0.31856775283813477,1045.0758934020996,1.3895394802093506,belgium,two,50.2,1000
1721230499.5734947,medium,6.jpg,0.17213702201843262,1057.8408241271973,1.2588903903961182,belgium,two,50.2,1000
1721230500.9779632,medium,6.jpg,0.3201301097869873,1064.2850399017334,1.4036483764648438,belgium,two,50.2,1000
1721230502.265721,medium,6.jpg,0.21356916427612305,1048.0198860168457,1.2865543365478516,belgium,two,50.2,1000
1721230503.8064415,medium,6.jpg,0.45314788818359375,1072.568416595459,1.5399165153503418,belgium,two,50.2,1000
1721230505.3669045,medium,6.jpg,0.386446475982666,1142.1000957489014,1.5596818923950195,belgium,two,50.2,1000
1721230506.6333013,medium,6.jpg,0.18768811225891113,1059.3328475952148,1.2653837203979492,belgium,two,50.2,1000
1721230508.0124621,medium,6.jpg,0.3048715591430664,1049.518346786499,1.3784003257751465,belgium,two,50.2,1000
1721230509.2989364,medium,6.jpg,0.18386173248291016,1073.8162994384766,1.2853784561157227,belgium,two,50.2,1000
1721230510.7496655,medium,6.jpg,0.358043909072876,1069.5409774780273,1.4499938488006592,belgium,two,50.2,1000
1721230511.999632,medium,6.jpg,0.15234613418579102,1064.6569728851318,1.2492125034332275,belgium,two,50.2,1000
1721230513.4400864,medium,6.jpg,0.3247251510620117,1094.7086811065674,1.439582347869873,belgium,two,50.2,1000
1721230514.7253952,medium,6.jpg,0.18828558921813965,1071.4099407196045,1.2845723628997803,belgium,two,50.2,1000
1721230516.1695697,medium,6.jpg,0.3631725311279297,1058.0358505249023,1.4430584907531738,belgium,two,50.2,1000
1721230517.4060943,medium,6.jpg,0.15276026725769043,1059.0593814849854,1.2357754707336426,belgium,two,50.2,1000
1721230518.7657661,medium,6.jpg,0.291520357131958,1049.2632389068604,1.3589136600494385,belgium,two,50.2,1000
1721230520.1097598,medium,6.jpg,0.2525510787963867,1068.296194076538,1.3427982330322266,belgium,two,50.2,1000
1721230521.4759176,medium,6.jpg,0.2996695041656494,1045.8621978759766,1.3653924465179443,belgium,two,50.2,1000
1721230522.7387528,medium,6.jpg,0.16200828552246094,1072.8085041046143,1.2619309425354004,belgium,two,50.2,1000
1721230524.1968405,medium,6.jpg,0.3719305992126465,1070.6429481506348,1.4570965766906738,belgium,two,50.2,1000
1721230525.4761336,medium,6.jpg,0.18810677528381348,1068.3422088623047,1.2785470485687256,belgium,two,50.2,1000
1721230526.9418857,medium,6.jpg,0.37457752227783203,1068.4502124786377,1.464963674545288,belgium,two,50.2,1000
1721230528.2668757,medium,6.jpg,0.23978662490844727,1058.2349300384521,1.3241941928863525,belgium,two,50.2,1000
1721230529.738455,medium,6.jpg,0.3811516761779785,1058.272361755371,1.4701132774353027,belgium,two,50.2,1000
1721230530.9950812,medium,6.jpg,0.1844806671142578,1049.7996807098389,1.2558190822601318,belgium,two,50.2,1000
